nacchoid,link from,link to,state,Notes
AK001,Municipality of Anchorage Department of Health and Human Services,OR024,OR,
AK101,"Alaska Department of Health & Social Services, Division of Public Health",AK001,AK,
AL038,Jefferson County Department of Health/Alabama Public Health Area 4,AL050,AL,
AL038,Jefferson County Department of Health/Alabama Public Health Area 4,KY032,KY,
AL038,Jefferson County Department of Health/Alabama Public Health Area 4,AL080,AL,
AL038,Jefferson County Department of Health/Alabama Public Health Area 4,TN020,TN,
AL038,Jefferson County Department of Health/Alabama Public Health Area 4,AL066,AL,
AR004,Benton County Health Unit - (Rogers &* Siloam Springs),MO048,MO,
AR004,Benton County Health Unit - (Rogers &* Siloam Springs),OK072,OK,
AR005,Boone County Health Department,AR008,AR,
AR005,Boone County Health Department,AR044,AR,
AR005,Boone County Health Department,AR050,AR,
AR005,Boone County Health Department,AR063,AR,
AR006,Bradley County Health Unit,AR002,AR,
AR006,Bradley County Health Unit,AR009,AR,
AR006,Bradley County Health Unit,AR021,AR,
AR006,Bradley County Health Unit,AR022,AR,
AR006,Bradley County Health Unit,AR039,AR,
AR007,Calhoun County Health Unit,AR020,AR,
AR007,Calhoun County Health Unit,AR051,AR,
AR008,Carroll County Health Unit,AR005,AR,
AR008,Carroll County Health Unit,AR043,AR,
AR008,Carroll County Health Unit,AR071,AR,
AR008,Carroll County Health Unit,AR057,AR,
AR009,Chicot County Health Unit,AR002,AR,
AR009,Chicot County Health Unit,AR021,AR,
AR009,Chicot County Health Unit,AR022,AR,
AR009,Chicot County Health Unit,AR058,AR,
AR009,Chicot County Health Unit,AR006,AR,
AR010,Clark County Health Unit,AR014,AR,
AR010,Clark County Health Unit,AR028,AR,
AR010,Clark County Health Unit,AR029,AR,
AR010,Clark County Health Unit,AR045,AR,
AR010,Clark County Health Unit,AR049,AR,
AR011,Clay County Health Unit - (Corning &Piggott*),AR011,AR,
AR012,Cleburne County Health Unit,AR012,AR,
AR013,Cleveland County Health Unit,AR002,AR,
AR013,Cleveland County Health Unit,AR006,AR,
AR013,Cleveland County Health Unit,AR022,AR,
AR013,Cleveland County Health Unit,AR034,AR,
AR013,Cleveland County Health Unit,AR039,AR,
AR014,Columbia County Health Unit,AR014,AR,
AR015,Conway County Health Unit,AR003,AR,
AR015,Conway County Health Unit,AR057,AR,
AR015,Conway County Health Unit,AR070,AR,
AR015,Conway County Health Unit,AR075,AR,
AR015,Conway County Health Unit,AR110,AR,
AR016,Craighead County Health Unit,AR019,AR,
AR016,Craighead County Health Unit,AR027,AR,
AR016,Craighead County Health Unit,AR046,AR,
AR016,Craighead County Health Unit,AR055,AR,
AR017,Crawford County Health Unit,AR057,AR,
AR017,Crawford County Health Unit,AR062,AR,
AR017,Crawford County Health Unit,AR064,AR,
AR017,Crawford County Health Unit,AR110,AR,
AR017,Crawford County Health Unit,AR075,AR,
AR020,Dallas County Health Unit,AR007,AR,
AR020,Dallas County Health Unit,AR014,AR,
AR020,Dallas County Health Unit,AR045,AR,
AR020,Dallas County Health Unit,AR051,AR,
AR020,Dallas County Health Unit,AR069,AR,
AR021,Desha County Health Unit - (Dumas Office),AR002,AR,
AR021,Desha County Health Unit - (Dumas Office),AR006,AR,
AR021,Desha County Health Unit - (Dumas Office),AR009,AR,
AR021,Desha County Health Unit - (Dumas Office),AR034,AR,
AR021,Desha County Health Unit - (Dumas Office),AR039,AR,
AR022,Drew County Health Unit,AR002,AR,
AR022,Drew County Health Unit,AR006,AR,
AR022,Drew County Health Unit,AR009,AR,
AR022,Drew County Health Unit,AR013,AR,
AR022,Drew County Health Unit,AR039,AR,
AR024,Fulton County Health Unit,AR024,AR,
AR026,Grant County Health Unit,AR025,AR,
AR026,Grant County Health Unit,AR052,AR,
AR026,Grant County Health Unit,AR061,AR,
AR026,Grant County Health Unit,AR112,AR,
AR027,Greene County Health Unit,AR027,AR,
AR028,Hempstead County Health Unit,AR036,AR,
AR028,Hempstead County Health Unit,AR049,AR,
AR030,Howard County Health Unit,AR040,AR,
AR030,Howard County Health Unit,AR045,AR,
AR030,Howard County Health Unit,AR054,AR,
AR030,Howard County Health Unit,AR057,AR,
AR030,Howard County Health Unit,AR065,AR,
AR031,Independence County Health Unit,AR027,AR,
AR031,Independence County Health Unit,AR066,AR,
AR031,Independence County Health Unit,AR066,AR,
AR031,Independence County Health Unit,AR068,AR,
AR031,Independence County Health Unit,AR027,AR,
AR032,Izard County Health Unit,AR032,AR,
AR033,Jackson County Health Unit,AL015,AR,
AR033,Jackson County Health Unit,AR027,AR,
AR033,Jackson County Health Unit,AR031,AR,
AR033,Jackson County Health Unit,AR037,AR,
AR033,Jackson County Health Unit,AR066,AR,
AR036,Lafayette County Health Unit,AR014,AR,
AR036,Lafayette County Health Unit,AR028,AR,
AR036,Lafayette County Health Unit,AR045,AR,
AR037,Lawrence County Health Unit,AR016,AR,
AR038,Lee County Health Unit,AR039,AR,
AR038,Lee County Health Unit,AR047,AR,
AR038,Lee County Health Unit,AR053,AR,
AR038,Lee County Health Unit,AR067,AR,
AR038,Lee County Health Unit,Forrest City Regional Office,AR,"Probably ""southeast region office"" need id from NACCHO"
AR039,Lincoln County Health Unit,AR006,AR,
AR039,Lincoln County Health Unit,AR009,AR,
AR039,Lincoln County Health Unit,AR021,AR,
AR039,Lincoln County Health Unit,AR022,AR,
AR039,Lincoln County Health Unit,AR034,AR,
AR042,Lonoke County Health Unit - (Cabot & Lonoke*),AR042,AR,
AR042,Lonoke County Health Unit - (Cabot & Lonoke*),AR042,AR,
AR045,Miller County Health Unit,AR028,AR,
AR045,Miller County Health Unit,AR036,AR,
AR045,Miller County Health Unit,AR040,AR,
AR045,Miller County Health Unit,AR054,AR,
AR045,Miller County Health Unit,AR065,AR,
AR046,Mississippi County Health Unit - (Blytheville),AR016,AR,
AR046,Mississippi County Health Unit - (Blytheville),AR018,AR,
AR046,Mississippi County Health Unit - (Blytheville),AR027,AR,
AR049,Nevada County Health Unit,AR028,AR,
AR049,Nevada County Health Unit,AR045,AR,
AR049,Nevada County Health Unit,AR049,AR,
AR050,Newton County Health Unit,AR005,AR,
AR050,Newton County Health Unit,AR008,AR,
AR050,Newton County Health Unit,AR057,AR,
AR050,Newton County Health Unit,AR063,AR,
AR050,Newton County Health Unit,AR110,AR,
AR051,Ouachita County Health Unit,AR007,AR,
AR051,Ouachita County Health Unit,AR014,AR,
AR051,Ouachita County Health Unit,AR020,AR,
AR051,Ouachita County Health Unit,AR056,AR,
AR051,Ouachita County Health Unit,AR069,AR,
AR058,Prairie County Health Unit,AR058,AR,
AR060,Randolph County Health Unit,AR016,AR,
AR060,Randolph County Health Unit,AR032,AR,
AR060,Randolph County Health Unit,AR033,AR,
AR060,Randolph County Health Unit,AR037,AR,
AR060,Randolph County Health Unit,AR066,AR,
AR061,Saline County Health Unit,AR026,AR,
AR062,Scott County Health Unit,AR017,AR,
AR062,Scott County Health Unit,AR064,AR,
AR062,Scott County Health Unit,AR110,AR,
AR063,Searcy County Health Unit,AR003,AR,
AR063,Searcy County Health Unit,AR005,AR,
AR063,Searcy County Health Unit,AR024,AR,
AR063,Searcy County Health Unit,AR050,AR,
AR063,Searcy County Health Unit,AR070,AR,
AR066,Sharp County Health Unit,AR012,AR,
AR066,Sharp County Health Unit,AR016,AR,
AR066,Sharp County Health Unit,AR024,AR,
AR066,Sharp County Health Unit,AR031,AR,
AR066,Sharp County Health Unit,AR068,AR,
AR067,St. Francis County Health Unit - (Hughes Office),AR047,AR,
AR067,St. Francis County Health Unit - (Hughes Office),AR067,AR,
AR070,Van Buren County Health Unit,AR057,AR,
AR070,Van Buren County Health Unit,AR063,AR,
AR071,Washington County Health Unit,AR004,AR,
AR071,Washington County Health Unit,AR043,AR,
AR071,Washington County Health Unit,AR064,AR,
AR073,Woodruff County Health Unit,AR073,AR,
AR112,Pulaski Health Unit - (Consolidated Units),AR112,AR,
AZ002,Cochise Health and Social Services,AZ005,AZ,
AZ002,Cochise Health and Social Services,AZ006,AZ,
AZ002,Cochise Health and Social Services,AZ008,AZ,
AZ002,Cochise Health and Social Services,AZ011,AZ,
AZ002,Cochise Health and Social Services,AZ017,AZ,
AZ005,Graham County Health Department,AZ005,AZ,
AZ006,Greenlee County Health Department,AZ005,AZ,
AZ007,La Paz County Health Department,AZ002,AZ,
AZ007,La Paz County Health Department,AZ008,AZ,
AZ007,La Paz County Health Department,AZ009,AZ,
AZ007,La Paz County Health Department,AZ015,AZ,
AZ007,La Paz County Health Department,AZ017,AZ,
AZ008,Maricopa County Department of Public Health,AZ009,AZ,
AZ008,Maricopa County Department of Public Health,AZ011,AZ,
AZ008,Maricopa County Department of Public Health,AZ012,AZ,
AZ008,Maricopa County Department of Public Health,AZ015,AZ,
AZ008,Maricopa County Department of Public Health,AZ017,AZ,
AZ009,Mohave County Department of Public Health,AZ007,AZ,
AZ009,Mohave County Department of Public Health,AZ008,AZ,
AZ009,Mohave County Department of Public Health,AZ012,AZ,
AZ009,Mohave County Department of Public Health,AZ014,AZ,
AZ009,Mohave County Department of Public Health,AZ015,AZ,
AZ010,Navajo County Public Health Services District,AZ001,AZ,
AZ010,Navajo County Public Health Services District,AZ003,AZ,
AZ010,Navajo County Public Health Services District,AZ009,AZ,
AZ010,Navajo County Public Health Services District,AZ017,AZ,
AZ011,Pima County Health Department,AZ003,AZ,
AZ011,Pima County Health Department,AZ008,AZ,
AZ011,Pima County Health Department,AZ012,AZ,
AZ011,Pima County Health Department,AZ015,AZ,
AZ011,Pima County Health Department,AZ017,AZ,
AZ012,Pinal County Health Department,AZ008,AZ,
AZ012,Pinal County Health Department,AZ009,AZ,
AZ012,Pinal County Health Department,AZ011,AZ,
AZ014,Yavapai County Community Health Services,AZ003,AZ,
AZ014,Yavapai County Community Health Services,AZ008,AZ,
AZ014,Yavapai County Community Health Services,AZ009,AZ,
AZ014,Yavapai County Community Health Services,AZ015,AZ,
AZ014,Yavapai County Community Health Services,AZ017,AZ,
AZ015,Yuma County Health Department,AZ002,AZ,
AZ015,Yuma County Health Department,AZ017,AZ,
AZ015,Yuma County Health Department,AZ008,AZ,
AZ015,Yuma County Health Department,AZ011,AZ,
AZ017,Gila County Health Department,IL038,IL,
AZ017,Gila County Health Department,AZ012,AZ,
AZ017,Gila County Health Department,TX134,TX,
AZ017,Gila County Health Department,AZ015,AZ,
CA005,Butte County Department of Public Health,MI026,MI,
CA005,Butte County Department of Public Health,CA031,CA,
CA005,Butte County Department of Public Health,CA035,CA,
CA005,Butte County Department of Public Health,CA048,CA,
CA010,El Dorado County Health Department,CA002,CA,
CA010,El Dorado County Health Department,CA031,CA,
CA010,El Dorado County Health Department,CA034,CA,
CA010,El Dorado County Health Department,CA045,CA,
CA010,El Dorado County Health Department,CA048,CA,
CA011,Fresno County Department of Public Health,CA022,CA,
CA011,Fresno County Department of Public Health,CA026,CA,
CA011,Fresno County Department of Public Health,CA042,CA,
CA011,Fresno County Department of Public Health,CA053,CA,
CA011,Fresno County Department of Public Health,CA017,CA,
CA013,Humboldt County Department of Health and Human Services,CA032,CA,
CA013,Humboldt County Department of Health and Human Services,CA042,CA,
CA013,Humboldt County Department of Health and Human Services,CA048,CA,
CA013,Humboldt County Department of Health and Human Services,CA052,CA,
CA013,Humboldt County Department of Health and Human Services,CA022,CA,
CA019,Lassen County Department of Health and Social Services,CA005,CA,
CA019,Lassen County Department of Health and Social Services,CA048,CA,
CA019,Lassen County Department of Health and Social Services,CA049,CA,
CA019,Lassen County Department of Health and Social Services,CA027,CA,
CA019,Lassen County Department of Health and Social Services,CA035,CA,
CA020,Long Beach City Department of Health and Human Services,CA001,CA,
CA020,Long Beach City Department of Health and Human Services,CA033,CA,
