nacchoid,nutrition,tobacco,rurality,population
AK001,1,0,urban,301010
AK004,NA,NA,suburb,9703
AK101,1,0,suburb,418302
AL001,1,0,urban,55395
AL002,1,0,rural,200111
AL003,1,0,suburb,26887
AL004,1,1,suburb,22506
AL005,1,1,suburb,57719
AL006,1,NA,suburb,10764
AL007,1,1,rural,20296
AL008,0,0,urban,115916
AL009,1,1,suburb,34076
AL010,1,1,rural,26037
AL011,1,0,suburb,43931
AL012,1,1,rural,13323
AL013,1,1,rural,24945
AL014,1,1,rural,13552
AL015,1,1,suburb,15080
AL016,1,1,suburb,50909
AL017,1,1,urban,54543
AL018,1,1,rural,12670
AL019,1,0,rural,10886
AL020,1,1,suburb,37914
AL021,1,1,rural,13977
AL022,NA,NA,suburb,81289
AL023,1,1,suburb,49484
AL024,1,1,suburb,41711
AL025,1,1,rural,71065
AL027,1,0,urban,80977
AL028,1,1,suburb,37733
AL029,1,0,urban,103531
AL031,1,1,suburb,31601
AL032,1,1,rural,26712
AL033,NA,1,rural,8553
AL034,1,1,suburb,15184
AL035,1,1,rural,17190
AL036,1,1,urban,104193
AL037,0,1,suburb,52665
AL038,1,1,urban,660793
AL039,1,1,rural,14086
AL040,1,1,urban,93096
AL041,1,1,urban,33477
AL042,1,0,urban,154255
AL043,0,1,suburb,90787
AL044,1,1,urban,10580
AL045,1,0,suburb,19425
AL047,1,1,rural,20110
AL048,1,1,rural,30271
AL049,0,1,suburb,94636
AL050,1,1,urban,415123
AL051,1,1,suburb,21947
AL052,1,0,urban,226189
AL055,1,1,rural,9826
AL056,1,1,rural,20365
AL057,1,1,suburb,33389
AL059,1,1,suburb,22539
AL060,1,0,urban,59608
AL061,0,0,urban,206655
AL062,1,1,urban,86697
AL063,1,1,rural,13166
AL064,0,1,suburb,81322
AL065,1,1,suburb,41165
AL066,1,1,urban,202212
AL067,1,1,suburb,65471
AL068,1,1,rural,16834
AL069,1,1,rural,11098
AL070,1,1,rural,24150
AL080,1,NA,urban,119607
AR001,1,1,suburb,18594
AR002,1,1,suburb,20948
AR003,1,0,suburb,40857
AR004,1,1,urban,242321
AR005,1,1,suburb,37196
AR006,1,1,suburb,11148
AR007,1,1,rural,5202
AR008,1,NA,suburb,27744
AR009,1,1,suburb,11180
AR010,1,1,suburb,22576
AR011,1,0,suburb,15118
AR012,0,1,suburb,25634
AR013,1,1,urban,8449
AR014,0,1,suburb,23933
AR015,1,1,suburb,21083
AR016,1,1,urban,102518
AR017,1,1,urban,61697
AR018,1,1,urban,49548
AR019,1,1,suburb,17227
AR020,1,1,suburb,7755
AR021,1,1,suburb,12264
AR022,1,0,suburb,18622
AR023,1,1,suburb,120768
AR024,1,0,rural,12125
AR025,1,1,urban,97322
AR026,1,1,urban,18144
AR027,1,1,suburb,43694
AR028,1,1,suburb,22327
AR029,1,1,suburb,33368
AR030,1,1,suburb,13500
AR031,1,1,suburb,36959
AR032,1,1,rural,13486
AR033,1,1,suburb,17534
AR034,1,1,urban,72297
AR035,1,1,suburb,26005
AR036,1,1,rural,7111
AR037,NA,NA,suburb,16931
AR038,1,1,suburb,9860
AR039,1,1,rural,13970
AR040,1,1,suburb,12532
AR042,1,1,urban,71557
AR043,1,1,rural,15740
AR044,0,0,rural,16367
AR045,1,1,urban,43428
AR046,1,1,suburb,44235
AR047,1,1,suburb,7582
AR048,1,1,rural,9082
AR049,1,1,suburb,8723
AR050,1,1,suburb,7904
AR051,1,1,suburb,24828
AR052,1,1,rural,10245
AR053,1,1,suburb,19930
AR054,1,1,rural,11024
AR055,1,1,urban,24246
AR056,1,1,suburb,20225
AR057,1,1,suburb,63201
AR058,1,1,rural,8304
AR060,1,0,suburb,17571
AR061,1,1,urban,115719
AR062,1,1,suburb,10693
AR063,1,1,rural,7929
AR064,1,1,urban,126776
AR065,NA,0,suburb,17426
AR066,1,1,rural,16906
AR067,1,1,suburb,26899
AR068,1,1,rural,12494
AR069,1,0,suburb,40227
AR070,1,1,rural,16851
AR071,0,1,urban,220792
AR072,1,1,suburb,78592
AR073,1,1,rural,6910
AR074,1,1,suburb,21951
AR075,1,1,suburb,17805
AR110,1,1,suburb,21958
AR112,1,1,urban,392702
AZ001,1,1,suburb,71828
AZ002,1,1,suburb,127448
AZ003,1,1,urban,137682
AZ005,1,0,suburb,37957
AZ006,1,1,suburb,9346
AZ007,0,1,suburb,20231
AZ008,1,1,urban,4087191
AZ009,1,1,suburb,203361
AZ010,1,1,suburb,108101
AZ011,1,1,urban,1004516
AZ012,1,1,suburb,401918
AZ013,0,0,suburb,46695
AZ014,1,1,urban,218844
AZ015,1,1,urban,203247
AZ017,1,1,suburb,53119
CA004,1,1,urban,118853
CA005,1,1,suburb,224241
CA007,1,1,suburb,21419
CA009,1,NA,suburb,27212
CA010,1,1,suburb,183087
CA011,1,1,urban,965974
CA012,1,1,suburb,27955
CA013,1,1,suburb,134809
CA019,1,1,rural,31749
CA020,1,1,urban,473577
CA022,1,1,urban,154548
CA025,1,1,suburb,87869
CA026,1,1,urban,266353
CA029,1,1,urban,431344
CA031,1,1,suburb,98893
CA032,1,1,urban,3145515
CA033,1,1,urban,140881
CA034,1,1,urban,371694
CA036,1,1,urban,2329271
CA037,1,1,urban,1482026
CA038,NA,NA,suburb,58267
CA039,0,1,urban,2112619
CA040,1,1,urban,3263431
CA042,1,1,urban,715597
CA043,1,1,urban,279083
CA045,1,1,urban,9502247
CA046,1,1,urban,1894605
CA048,1,1,urban,179804
CA049,1,1,rural,3003
CA050,1,1,suburb,43628
CA051,1,1,urban,431131
CA052,0,0,urban,500292
CA053,1,1,urban,531997
CA054,1,1,urban,95847
CA055,1,1,suburb,63067
CA058,1,1,urban,458198
CA059,1,1,suburb,53831
CA060,1,1,urban,846178
CA062,1,1,suburb,207590
CA063,1,1,urban,73966
CA064,1,1,urban,440668
CO001,0,1,suburb,16177
CO003,1,1,suburb,17626
CO004,1,1,urban,62138
CO006,1,1,urban,313333
CO007,1,1,suburb,18363
CO009,1,1,rural,1871
CO011,0,1,rural,8265
CO012,1,1,rural,3568
CO013,1,1,rural,786
CO014,1,0,rural,4361
CO015,1,1,suburb,29870
CO017,1,1,rural,1978
CO018,NA,NA,suburb,52921
CO019,1,1,urban,663519
CO020,0,0,urban,24195
CO021,0,1,suburb,46502
CO023,1,0,suburb,57461
CO024,0,1,rural,5851
CO025,1,1,rural,14546
CO026,1,1,suburb,15725
CO029,1,1,urban,558503
CO030,1,1,rural,1402
CO031,1,1,suburb,8072
CO034,0,1,urban,324122
CO035,1,1,suburb,20514
CO036,1,1,rural,5510
CO037,1,1,urban,148255
CO038,1,1,rural,698
CO040,1,1,suburb,25772
CO042,1,1,suburb,40873
CO043,1,1,suburb,72545
CO045,1,1,suburb,23848
CO046,1,1,rural,4629
CO049,1,1,suburb,12034
CO050,1,1,urban,161875
CO052,0,1,rural,11607
CO054,1,1,rural,6196
CO055,1,1,suburb,66233
CO056,0,1,rural,720
CO058,1,1,suburb,29404
CO060,1,1,urban,23389
CO062,1,1,urban,1414177
CO064,1,1,urban,277670
CO074,1,1,rural,16345
CO079,1,1,rural,3645
CO085,0,1,urban,663862
CO086,0,0,suburb,7357
CO087,1,1,urban,9187
CT006,1,1,urban,84143
CT011,1,1,urban,70146
CT012,0,0,urban,17055
CT021,0,0,urban,14113
CT022,0,0,urban,83784
CT023,0,0,urban,21689
CT025,NA,NA,urban,7348
CT028,1,0,urban,51033
CT030,1,1,urban,71591
CT031,0,0,urban,7631
CT032,0,0,urban,6612
CT034,0,0,urban,108981
CT037,1,0,urban,34754
CT038,1,0,urban,62610
CT045,0,0,urban,6490
CT047,0,1,urban,121229
CT050,0,0,urban,18259
CT051,0,0,urban,58106
CT052,1,0,suburb,81095
CT054,1,1,urban,60293
CT058,1,0,urban,53358
CT060,1,0,urban,127273
CT062,0,0,urban,20314
CT064,1,1,urban,130282
CT068,0,0,urban,32028
CT071,0,0,urban,166207
CT073,1,0,urban,88145
CT075,1,0,urban,27917
CT079,0,0,urban,42514
CT082,0,0,urban,99787
CT083,0,0,urban,9309
CT091,0,0,urban,11303
CT092,0,0,urban,25823
CT096,1,1,urban,128278
CT098,1,1,urban,52734
CT102,0,1,urban,95759
CT106,1,1,urban,109307
CT112,0,0,urban,97835
CT116,1,1,urban,29069
CT119,0,0,urban,5288
CT122,0,0,urban,4316
CT130,1,1,urban,61616
CT131,0,1,urban,71964
CT132,NA,NA,suburb,133341
CT133,0,0,urban,19867
CT134,0,0,urban,36578
DC001,1,1,urban,658893
DE002,1,1,urban,552778
DE003,0,0,suburb,382836
FL001,1,0,urban,897698
FL002,1,1,urban,256380
FL003,1,1,suburb,27093
FL004,1,1,urban,178985
FL005,1,1,suburb,26702
FL006,1,1,urban,556885
FL007,1,1,urban,1869235
FL008,1,1,suburb,14532
FL009,1,1,urban,168474
